"","date","song","artist","image_url","last_week","weeks_on_chart","weeks_at_1"
"1053","2020-02-29","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","11","7"
"1054","2020-03-07","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","12","8"
"1055","2020-03-14","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","13","9"
"1056","2020-03-21","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","14","10"
"1057","2020-03-28","The Box","Roddy Ricch","https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg","1","15","11"
"1058","2020-04-04","Blinding Lights","The Weeknd","https://charts-static.billboard.com/img/2019/12/the-weeknd-jlk-blindinglights-gfd-180x180.jpg","2","17","1"
"1059","2020-04-11","Blinding Lights","The Weeknd","https://charts-static.billboard.com/img/2019/12/the-weeknd-jlk-blindinglights-gfd-180x180.jpg","1","18","2"
"1060","2020-04-18","Toosie Slide","Drake","https://charts-static.billboard.com/img/2020/04/drake-8dm-toosieslide-e5w-180x180.jpg","-","1",NA
"1061","2020-04-25","Blinding Lights","The Weeknd","https://charts-static.billboard.com/img/2019/12/the-weeknd-jlk-blindinglights-gfd-180x180.jpg","2","20","3"
"1062","2020-05-02","Blinding Lights","The Weeknd","https://charts-static.billboard.com/img/2019/12/the-weeknd-jlk-blindinglights-gfd-180x180.jpg","1","21","4"
"1063","2020-05-09","The Scotts","THE SCOTTS, Travis Scott & Kid Cudi","https://charts-static.billboard.com/img/2020/05/thescotts-000-thescotts-huk-180x180.jpg","-","1",NA
"1064","2020-05-16","Say So","Doja Cat Featuring Nicki Minaj","https://charts-static.billboard.com/img/2019/12/dojacat-cqv-sayso-z1g-180x180.jpg","6","18","1"
"1065","2020-05-23","Stuck With U","Ariana Grande & Justin Bieber","https://charts-static.billboard.com/img/2020/05/ariana-grande-i9s-stuckwithu-yqg-180x180.jpg","-","1",NA
"1066","2020-05-30","Savage","Megan Thee Stallion Featuring Beyonce","https://charts-static.billboard.com/img/2020/03/megan-thee-stallion-dkc-savage-7q2-180x180.jpg","5","10","1"
"1067","2020-06-06","Rain On Me","Lady Gaga & Ariana Grande","https://charts-static.billboard.com/img/2020/05/lady-gaga-r3b-rainonme-n1e-180x180.jpg","-","1",NA
"1068","2020-06-13","Rockstar","DaBaby Featuring Roddy Ricch","https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg","3","7","1"
"1069","2020-06-20","Rockstar","DaBaby Featuring Roddy Ricch","https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg","1","8","2"
